a person - человек, персона
a man -	мужчина
full	сытый, полный
hungry	голодный
delivery	доставка
baked	запеченный
boiled	вареный
fried	жареный
ready	готовый
bitter	горький
delicious	очень вкусный
salty	соленый
sour	кислый
spicy	острый
sweet	сладкий
a meal	прием пищи
breakfast	завтрак
lunch	обед
dinner	ужин
snack	перекус
a dish	блюдо
noodles	лапша
porridge	каша
salad	салат
a sandwich	бутерброд
soup	суп
fruit	фрукты
vegetables	овощи
an apple	яблоко
an apricot	абрикос
a banana	банан
a berry	ягода
a cherry	вишня
a cucumber	огурец
grapes	виноград
a lemon	лимон
a mandarin	мандарин
a mango	манго
a melon	дыня
a peach	персик
a pear	груша
a pineapple	ананас
a plum	слива
a pumpkin	тыква
a raspberry	малина
a strawberry	клубника
a tomato	помидор
a watermelon	арбуз
beans	бобы, фасоль
a beetroot	свекла
a bell pepper	болгарский перец
a cabbage	капуста
a carrot	морковь
corn	кукуруза
garlic	чеснок
an onion	лук
a mushroom	гриб
potato	картофель
dairy	молочные продукты
butter	масло
cheese	сыр
cream	крем, сливки
curd	творог
milk	молоко
yogurt	йогурт
a cutlet	котлета
meat	мясо
beef	говядина
chicken	курица, цыпленок
fish	рыба
duck	утка
ham	ветчина
lamb	баранина, ягненок
pork	свинина
sausage	колбаса, сосиска
seafood	морепродукты
dessert	десерт
biscuit печенье
a bun	булочка
a cake	торт
chocolate	шоколад
honey	мед
ice cream	мороженое
jam	варенье
a pie	пирог
bread	хлеб
an egg	яйцо
flour	мука
a nut	орех
oatmeal	овсянка
oil	растительное масло
pepper	перец
rice	рис
salt	соль
sauce	соус
spices	специи
sugar	сахар
a drink	напиток
coffee	кофе
juice	сок
soda	газировка
tea	чай
water	вода
wine	вино
a bottle	бутылка
a glass	стакан, стекло
a cup	чашка
a kettle	чайник
a bowl	глубокая тарелка, миска
a plate	тарелка
a fork	вилка
a knife	нож
a spoon	ложка
a frying pan	сковородка
a pan	кастрюля
a napkin	салфетка
an animal	животное
an ant	муравей
a bear	медведь
a bee	пчела
a bird	птица
a cat	кот, кошка
a cockroach	таракан
a cow	корова
a dog	собака
a elephant	слон
a fox	лиса
a frog	лягушка
a giraffe	жираф
a goose 	гусь
a horse	лошадь
an insect	насекомое
a lion  лев
a lioness	львица
a monkey	обезьяна
a mouse 	мышь
a pig	свинья
a rabbit	заяц
a rat	крыса
a snake	змея
a spider	паук
a squirrel	белка
a plant	растение
a bush	куст
a flower	цветок
grass	трава
a leaf	лист
a tree	дерево
nature	природа
a beach	пляж
a coast	морское побережье
a field	поле
fire	огонь, пожар
a forest	лес
an island	остров
a lake	озеро
a mountain	гора
the ocean	океан
a river	река
sand	песок
the sea	море
a stone	камень
a world	мир
air	воздух
degree	градус
moon	луна
sky	небо
sun	солнце
temperature	температура
weather	погода
clear	ясный
cloudy	облачный
cold	холодный, холодно
cool	прохладный, прохладно
foggy	туманный
hot	горячий, жаркий, жарко
rainy	дождливый, дождливо
snowy	снежный, снежно
warm	тепло, теплый
windy	ветрено
a birthday	день рождения
Christmas	Рождество
death	смерть
Easter	Пасха
a game	игра
a holiday  праздник, каникулы, отпуск
a meeting	встреча, собрание
a party	вечеринка
a wedding	свадьба
a balloon	воздушный шар
a box	коробка, боксировать
a guest	гость
an invitation	приглашение
a present	подарок
a toy	игрушка
a country	страна
customs	таможня
a city	город
a town	небольшой город, городок
a village	деревня
an airport	аэропорт
a bank	банк
a bridge	мост
a building	здание
a cafe	кафе
a centre	центр
a church	церковь
a cinema	кинотеатр
a company	компания, фирма
entrance	вход
exit	выход
a factory	фабрика, завод
garbage	мусор
a hospital	больница
a hotel	гостиница
an intersection	перекресток, точка пересечения
a market	рынок
an office	офис
a park	парк
a pavement	тротуар
a pharmacy 	аптека
a police	полиция
a post office	почта
a restaurant	ресторан
a road	дорога
a school	школа
a shop 	магазин
a station	станция, вокзал
a street	улица
a theatre 	театр
a university	университет
clean	чистый
comfortable	удобный, уютный
crowded	людный, переполненный
dirty	грязный
main	основной, главный
left	левый, налево
right	правый, направо
here	тут, сюда
there	там, туда
down	вниз
up	вверх
about	о, около, примерно
above	над
against	против
behind	сзади, позади
between	между
from	из
in	в
in front of	впереди
on	на
through	через, сквозь
to	по направлению к
under	под
with	с
without	без
a flat 	квартира
a house	дом
a balcony	балкон
a bathroom	ванная
a bedroom	спальня
a curtain	штора
a door	дверь
a fence	забор
a floor	пол, этаж
a hall	коридор
a kitchen	кухня
a living room	гостиная, зал
a roof	крыша
a room	комната
a shower	душ
a sink	раковина
a socket	розетка
stairs	лестница, ступеньки
a toilet	туалет
a wall	стена
a window	окно
a yard	двор
furniture	мебель
an armchair	кресло
a bed	кровать
a chair	стул
a shelf	полка
a sofa	диван
a table	стол
a wardrobe	шкаф
a battery	батарейка, аккумулятор
a camera	камера
a computer	компьютер
a fridge	холодильник
an iron	утюг
a keyboard	клавиатура
a lamp	лампа
a laptop	ноутбук
a microwave	микроволновка
an oven	печь, духовка
a phone	телефон
a radio	радио
a cooker	кухонная плита
a TV	телевизор
a wire	провод
a ball	мяч, шар
a blanket	одеяло
a carpet	ковер
a key	ключ, клавиша
a magazine	журнал
mail	почта
a mirror	зеркало
a newspaper	газета
a package	упаковка, посылка
a pillow	подушка
a sheet	простыня
a soap	мыло
a towel	полотенце
a vase	ваза
